converted,GameLevel,NumGameDays,NumGameDays4Plus,NumInGameMessagesSent,NumSpaceHeroBadges,NumFriendRequestIgnored,NumFriends,AcquiredSpaceship,AcquiredIonWeapon,TimesLostSpaceship,TimesKilled,TimesCaptain,TimesNavigator,PurchasedCoinPackSmall,PurchasedCoinPackLarge,NumAdsClicked,DaysUser,UserConsole,UserHasOldOS,training
no,10,11,0,355,0,8,3,yes,no,6,0,5,0,no,no,4,2953,yes,yes,1
no,6,7,1,30,0,0,0,yes,no,4,0,0,0,no,yes,8,2343,yes,no,1
no,8,2,0,69,0,111,13,no,no,2,0,0,0,yes,no,11,2374,yes,no,1
no,5,3,0,40,0,33,1,no,no,0,0,2,0,no,no,3,2708,yes,no,1
no,6,15,0,5,0,62,0,no,no,0,0,0,0,no,no,11,2101,yes,yes,0
no,1,8,0,0,0,0,12,no,no,0,0,0,0,yes,no,0,2254,yes,no,0
no,5,7,0,0,0,0,0,no,no,0,0,0,0,no,no,4,4139,yes,no,1
no,9,1,0,0,0,0,36,yes,no,0,0,2,0,yes,no,10,2282,yes,no,1
no,10,2,0,134,0,91,5,no,no,19,0,0,0,yes,no,5,2343,yes,no,0
no,7,22,3,195,0,105,0,no,no,1,0,4,0,no,no,5,2404,yes,yes,1
no,6,4,0,0,0,0,10,no,no,0,0,0,1,yes,yes,9,2009,yes,no,1
no,10,5,0,97,0,40,30,yes,no,22,0,0,0,yes,no,5,1978,yes,no,1
no,10,27,14,41,0,53,22,yes,no,4,0,0,8,yes,no,9,3013,yes,no,1
no,9,17,0,0,0,0,0,no,no,0,0,0,0,no,no,5,4080,yes,yes,1
no,6,11,8,0,0,0,27,no,no,0,0,1,0,yes,yes,3,3227,yes,yes,1
no,2,2,0,0,0,12,0,yes,no,0,0,0,0,yes,yes,7,2466,yes,no,1
no,1,2,0,0,0,14,0,no,no,0,0,0,0,no,yes,4,2739,yes,no,1
no,10,10,1,23,0,26,188,yes,no,9,0,0,0,yes,no,19,3409,yes,no,1
no,10,20,3,526,0,90,0,no,no,10,0,0,0,no,no,10,2192,yes,yes,1
no,5,5,0,18,0,0,0,yes,no,0,0,0,0,no,no,7,3531,yes,no,1
no,4,6,0,0,0,0,1,no,no,0,0,0,0,yes,no,2,2647,yes,no,1
no,8,22,0,62,0,96,12,no,no,9,0,0,0,yes,no,3,2922,yes,no,0
no,7,2,0,0,3,31,71,no,no,0,0,0,0,no,no,12,2435,yes,no,1
no,3,18,0,23,0,3,0,no,no,1,0,0,0,no,no,6,2922,yes,no,0
no,5,1,0,0,0,0,286,yes,no,0,0,0,0,no,no,15,2343,yes,no,1
no,1,8,0,0,0,0,54,no,no,0,0,0,0,yes,no,12,3013,yes,no,1
no,2,16,0,0,0,0,0,no,no,0,0,0,0,no,no,1,4108,yes,no,0
no,9,7,2,0,0,0,0,yes,no,0,0,7,0,no,no,6,2374,no,no,0
no,10,18,0,11,0,0,2,no,no,0,0,0,0,no,no,16,3319,yes,no,1
no,8,9,0,265,0,63,15,no,no,2,0,0,0,no,no,8,3774,yes,no,1
no,9,25,0,21,0,35,304,yes,no,0,0,0,0,yes,no,18,2588,yes,no,0
no,5,17,0,55,0,92,2,no,no,0,0,0,0,no,no,0,2009,no,no,0
no,9,14,0,48,0,72,115,no,no,2,0,0,0,yes,yes,7,3105,yes,yes,1
no,7,21,1,203,0,38,231,yes,no,49,0,0,0,no,no,8,2739,yes,no,1
no,2,10,0,469,0,45,0,yes,no,0,0,3,0,no,no,0,2039,yes,no,0
no,3,8,0,91,0,54,6,yes,no,9,0,0,0,no,yes,3,2009,yes,no,0
yes,5,9,0,212,2,16,6,no,no,2,0,0,0,no,no,15,2343,yes,yes,1
no,9,15,0,117,0,25,5,no,no,12,0,0,2,no,yes,4,2708,no,no,1
no,6,18,0,0,0,0,8,no,no,0,0,0,0,no,no,15,3774,yes,no,1
no,10,20,1,195,2,104,127,yes,no,5,0,0,0,no,no,18,2254,yes,yes,0
no,10,22,0,191,0,86,158,no,no,1,0,0,0,yes,no,25,2343,yes,no,0
no,8,19,0,0,0,0,3,no,no,2,0,0,0,no,yes,23,3743,yes,no,1
no,1,1,0,0,0,0,5,no,no,4,0,0,0,no,no,5,2708,no,no,1
no,9,21,1,252,0,0,0,no,no,37,0,0,0,no,yes,7,2831,yes,no,0
no,6,9,5,213,1,56,122,yes,no,0,0,0,0,no,no,33,3439,yes,no,1
no,6,2,0,51,0,41,0,no,no,0,0,0,2,no,yes,6,2588,yes,no,1
no,5,3,0,0,0,0,0,no,yes,0,0,0,0,no,no,2,2374,yes,no,0
